sg_uf,nm_ue,ds_cargo,ds_sit_tot_turno,ds_genero,ds_cor_raca,ds_grau_instrucao,nr_cpf,ds_ocupacao,sg_partido
MA,São Luís,VEREADOR,#NULO,MASCULINO,PARDA,SUPERIOR COMPLETO,-4,ADMINISTRADOR,NOVO
MA,São Luís,VEREADOR,#NULO,MASCULINO,PARDA,SUPERIOR COMPLETO,-4,OUTROS,PSDB
MA,São Luís,VEREADOR,#NULO,FEMININO,BRANCA,SUPERIOR COMPLETO,-4,PUBLICITÁRIO,PP
MA,São Luís,VEREADOR,#NULO,FEMININO,PRETA,SUPERIOR COMPLETO,-4,ASSISTENTE SOCIAL,PT
MA,São Luís,VEREADOR,#NULO,MASCULINO,PRETA,LÊ E ESCREVE,-4,EMPRESÁRIO,PT
MA,São Luís,VEREADOR,#NULO,MASCULINO,PARDA,SUPERIOR COMPLETO,-4,OUTROS,AVANTE
MA,São Luís,PREFEITO,NÃO ELEITO,MASCULINO,BRANCA,SUPERIOR COMPLETO,-4,MÉDICO,PRTB
MA,São Luís,PREFEITO,NÃO ELEITO,FEMININO,PARDA,SUPERIOR COMPLETO,-4,ADVOGADO,SOLIDARIEDADE
MA,São Luís,VEREADOR,NÃO ELEITO,MASCULINO,PARDA,SUPERIOR COMPLETO,-4,ENFERMEIRO,MOBILIZA
MA,São Luís,VEREADOR,NÃO ELEITO,FEMININO,BRANCA,ENSINO MÉDIO COMPLETO,-4,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,MOBILIZA
MA,São Luís,VEREADOR,NÃO ELEITO,MASCULINO,BRANCA,SUPERIOR COMPLETO,-4,PROFESSOR DE ENSINO SUPERIOR,MOBILIZA
MA,São Luís,VEREADOR,NÃO ELEITO,FEMININO,PARDA,ENSINO MÉDIO COMPLETO,-4,OUTROS,PSOL
MA,São Luís,VEREADOR,NÃO ELEITO,FEMININO,PARDA,SUPERIOR INCOMPLETO,-4,OUTROS,PSOL
MA,São Luís,VEREADOR,NÃO ELEITO,MASCULINO,PRETA,ENSINO MÉDIO COMPLETO,-4,OUTROS,PSOL
MA,São Luís,VEREADOR,SUPLENTE,MASCULINO,BRANCA,ENSINO MÉDIO COMPLETO,-4,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,UNIÃO
MA,São Luís,VEREADOR,SUPLENTE,FEMININO,PARDA,SUPERIOR COMPLETO,-4,ADMINISTRADOR,UNIÃO
MA,São Luís,VEREADOR,NÃO ELEITO,FEMININO,PRETA,SUPERIOR COMPLETO,-4,PROFESSOR DE ENSINO FUNDAMENTAL,PSTU
MA,São Luís,VEREADOR,NÃO ELEITO,MASCULINO,BRANCA,ENSINO MÉDIO COMPLETO,-4,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,PMB
MA,São Luís,VEREADOR,NÃO ELEITO,FEMININO,PARDA,SUPERIOR COMPLETO,-4,PEDAGOGO,PMB
MA,São Luís,VEREADOR,SUPLENTE,FEMININO,PRETA,SUPERIOR COMPLETO,-4,OUTROS,PDT
MA,São Luís,VEREADOR,SUPLENTE,MASCULINO,PARDA,ENSINO MÉDIO COMPLETO,-4,OUTROS,PDT
MA,São Luís,VEREADOR,NÃO ELEITO,MASCULINO,BRANCA,SUPERIOR COMPLETO,-4,SERVIDOR PÚBLICO CIVIL APOSENTADO,NOVO
