sg_uf,nm_municipio,ds_genero,ds_raca_cor,ds_grau_instrucao,qtd
AL,Maceió,FEMININO,Amarela,ANALFABETO,2
AL,Maceió,FEMININO,Amarela,ENSINO FUNDAMENTAL COMPLETO,11
AL,Maceió,FEMININO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,33
AL,Maceió,FEMININO,Amarela,ENSINO MÉDIO COMPLETO,126
AL,Maceió,FEMININO,Amarela,ENSINO MÉDIO INCOMPLETO,50
AL,Maceió,FEMININO,Amarela,LÊ E ESCREVE,5
AL,Maceió,FEMININO,Amarela,SUPERIOR COMPLETO,41
AL,Maceió,FEMININO,Amarela,SUPERIOR INCOMPLETO,20
AL,Maceió,FEMININO,Branca,ANALFABETO,94
AL,Maceió,FEMININO,Branca,ENSINO FUNDAMENTAL COMPLETO,261
AL,Maceió,FEMININO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,933
AL,Maceió,FEMININO,Branca,ENSINO MÉDIO COMPLETO,3083
AL,Maceió,FEMININO,Branca,ENSINO MÉDIO INCOMPLETO,1630
AL,Maceió,FEMININO,Branca,LÊ E ESCREVE,175
AL,Maceió,FEMININO,Branca,SUPERIOR COMPLETO,1840
AL,Maceió,FEMININO,Branca,SUPERIOR INCOMPLETO,892
AL,Maceió,FEMININO,Indígena,ENSINO FUNDAMENTAL COMPLETO,5
AL,Maceió,FEMININO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,5
AL,Maceió,FEMININO,Indígena,ENSINO MÉDIO COMPLETO,7
AL,Maceió,FEMININO,Indígena,ENSINO MÉDIO INCOMPLETO,8
AL,Maceió,FEMININO,Indígena,LÊ E ESCREVE,1
AL,Maceió,FEMININO,Indígena,SUPERIOR COMPLETO,2
AL,Maceió,FEMININO,Indígena,SUPERIOR INCOMPLETO,1
AL,Maceió,FEMININO,NÃO INFORMADO,ANALFABETO,11148
AL,Maceió,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,15537
